concept,keep,part_group,exact_parts,rationale
"long, black bill",True,beak,beak,Bill maps cleanly to beak.
a wingspan of up to 3.5 feet,False,,,"Describes overall size/extent, not a localized annotated part."
a white face and underparts,False,,,"Refers to multiple/vague regions, not one supported part."
a raucous call,False,,,"Behavioral/audio trait, not a body part."
pattern,False,,,Too abstract and not localized to one part.
"fast, erratic flight patterns",False,,,"Behavioral trait, not a body part."
a red head,False,,,"Head spans multiple supported parts, so not cleanly mappable."
a white patch on the wing,True,wing,left wing|right wing,Localized to the wing.
a yellow bill,True,beak,beak,Bill maps cleanly to beak.
a small beak,True,beak,beak,Directly describes the beak.
color,False,,,Abstract attribute with no localized part.
rusty-brown feathers,False,,,Feathers are not tied to one supported part.
"a small, stocky body",False,,,"Whole-body description, not one supported part."
"a small, slim body",False,,,"Whole-body description, not one supported part."
A long curved bill,True,beak,beak,Bill maps cleanly to beak.
a vibrant blue plumage,False,,,"Global plumage trait, not one localized part."
"a small, green body",False,,,"Whole-body description, not one supported part."
a black wingtip,False,,,Too specific relative to the whole wing annotation.
a streaked back,True,back,back,Directly describes the back.
a long tail with white bars,True,tail,tail,Primarily describes the tail.
shiny black eyes,True,eye,left eye|right eye,Directly describes the eyes.
a black face,False,,,Face is a vague unsupported region.
orange legs,True,leg,left leg|right leg,Directly describes the legs.
black wings with white stripes,True,wing,left wing|right wing,Primarily describes the wings.
a slender body,False,,,"Whole-body shape, not one supported part."
"loud, rasping voice",False,,,"Behavioral/audio trait, not a body part."
spotted feathers,False,,,Feathers are not tied to one supported part.
a black head,False,,,"Head spans multiple supported parts, so not cleanly mappable."
a black beak,True,beak,beak,Directly describes the beak.
a black mask around the eyes,False,,,"Covers area around eyes, not the eye part itself."
a red crest on the head,False,,,Crest is not a supported part group.
black plumage,False,,,"Global plumage trait, not one localized part."
a black and white color scheme,False,,,"Global color pattern, not one localized part."
"a small, shy bird",False,,,"Whole-animal/behavior description, not a body part."
a white stripe above the eye,False,,,Region above the eye is not the eye part itself.
a white chest and belly,False,,,Refers to multiple parts at once.
"a small, songbird",False,,,"Whole-animal category/size, not a body part."
a brown back,True,back,back,Directly describes the back.
blue wings with white bars,True,wing,left wing|right wing,Primarily describes the wings.
"a small, brown bird",False,,,"Whole-animal description, not one supported part."
a black tail,True,tail,tail,Directly describes the tail.
a large blue-grey bird,False,,,"Whole-animal description, not one supported part."
"a large, seabird",False,,,"Whole-animal category/size, not a body part."
A red eye,True,eye,left eye|right eye,Directly describes the eye.
white body with grey wings,False,,,"Mixes whole body with wing, so not one part."
white wingbars,True,wing,left wing|right wing,Wingbars are markings on the wing.
"a large, stocky body",False,,,"Whole-body description, not one supported part."
white patch on neck,False,,,Neck is not a supported coarse part group.
a rectangular shape,False,,,"Abstract shape trait, not a localized part."
a brown tail,True,tail,tail,Directly describes the tail.
"a small, sparrow-like body",False,,,"Describes overall body form, not one supported part."
a pale stripe above the eye,False,,,"Refers to eyebrow/supercilium region, not a supported part label."
yellowish-green legs,True,leg,left leg|right leg,Directly describes the legs.
a blue-grey back,True,back,back,Directly describes the back.
"a small, thrush-like bird",False,,,"Describes whole bird type/size, not one part."
"a short, stout bill",True,beak,beak,Bill maps cleanly to beak.
black wings with orange bars,True,wing,left wing|right wing,Primarily describes the wings.
a small body,False,,,Body is too broad and unsupported.
a red ring around the eye,True,eye,left eye|right eye,Cleanly centered on the eye region.
grayish wings,True,wing,left wing|right wing,Directly describes the wings.
a medium sized bird,False,,,"Overall size, not a localized part."
a black cap on the female,True,crown,crown,Cap maps to crown.
a red throat,True,throat,throat,Directly describes the throat.
black wings,True,wing,left wing|right wing,Directly describes the wings.
white underparts,False,,,Underparts spans multiple regions and is too vague.
a black band across the belly,True,belly,belly,Primarily localized to the belly.
a rusty-brown back,True,back,back,Directly describes the back.
black tail,True,tail,tail,Directly describes the tail.
black and orange feathers,False,,,Feathers are not localized to one supported part.
"a long, thin bill",True,beak,beak,Bill maps cleanly to beak.
brown and gray plumage,False,,,"Plumage is overall coloration, not one part."
a black head and upperparts,False,,,Covers multiple unsupported regions.
long tail,True,tail,tail,Directly describes the tail.
a white wingbar,True,wing,left wing|right wing,Wingbar is a marking on the wing.
"a short, thick neck",False,,,Neck is not a supported part group.
a wingspan of 3-4 feet,False,,,"Overall size measurement, not a localized part."
a yellow-tipped tail,True,tail,tail,Primarily describes the tail.
a black tail with white tips,True,tail,tail,Primarily describes the tail.
"a small, thin beak",True,beak,beak,Directly describes the beak.
"a long, thick beak",True,beak,beak,Directly describes the beak.
black streaks on the wings,True,wing,left wing|right wing,Primarily describes the wings.
long hind legs for jumping,True,leg,left leg|right leg,Directly describes the legs.
"yellow or white ""eyebrows""",False,,,Eyebrow/supercilium is not a supported part group.
a black mask,False,,,"Mask refers to face region, which is unsupported."
yellow throat and breast,False,,,"Covers two supported parts, not one."
"a long, slender neck",False,,,Neck is not a supported part group.
a brown breast,True,breast,breast,Directly describes the breast.
yellowish-brown wings,True,wing,left wing|right wing,Directly describes the wings.
"a large, black body",False,,,Body is too broad and unsupported.
gray plumage,False,,,"Plumage is overall coloration, not one part."
shy and secretive behavior,False,,,Behavior is non-spatial and not a part.
a hooked bill,True,beak,beak,Bill maps cleanly to beak.
a small mouth,False,,,Mouth is not a supported part group.
a black cap on the head,True,crown,crown,Cap maps to crown.
black beak,True,beak,beak,Directly describes the beak.
grey legs and feet,False,,,"Includes feet, which are unsupported."
white body,False,,,Body is too broad and unsupported.
"a short, pointed beak",True,beak,beak,Directly describes the beak.
a white throat and belly,False,,,"Covers two supported parts, not one."
a black mask over its eyes,False,,,Mask spans the face/eye area and does not cleanly match one supported part.
a dark coloration,False,,,"Describes overall coloration, not one supported part."
a curved beak,True,beak,beak,Directly describes the beak.
a yellow head and throat,False,,,"Refers to multiple parts, including unsupported head as a whole."
brown and black feathers,False,,,"General plumage description, not one supported part."
a hooked beak,True,beak,beak,Directly describes the beak.
hooked beak,True,beak,beak,Directly describes the beak.
short wings,True,wing,left wing|right wing,Directly describes the wings.
"a large, black spider",False,,,Not a bird part concept.
a white or pale gray body,False,,,Body is too broad and unsupported.
pale gray upperparts,False,,,Upperparts is a vague multi-part region.
"Long, slim body",False,,,Body is too broad and unsupported.
orange and black wings,True,wing,left wing|right wing,Directly describes the wings.
"a thin, pointy bill",True,beak,beak,Bill maps cleanly to beak.
a white wing bar,False,,,"Wing bar is a subregion/pattern, not the whole wing annotation."
"long, red legs",True,leg,left leg|right leg,Directly describes the legs.
a green body,False,,,Body is too broad and unsupported.
"a large, green head",False,,,Head is unsupported as a single part.
green head,False,,,Head is unsupported as a single part.
grey legs,True,leg,left leg|right leg,Directly describes the legs.
a streaked head,False,,,Head is unsupported as a single part.
a white breast,True,breast,breast,Directly describes the breast.
a duck-like bird,False,,,"Describes whole-bird appearance, not one part."
a built-in keyboard,False,,,Not a bird part concept.
a brown or gray body,False,,,Body is too broad and unsupported.
webbed toes,False,,,Toes/feet are unsupported parts.
a large bill,True,beak,beak,Bill maps cleanly to beak.
olive-colored sides,False,,,"Sides is a vague body region, not supported."
"a long, forked tail",True,tail,tail,Directly describes the tail.
a black band across the eyes,False,,,"Spans across both eyes as a facial pattern, not the eye part itself."
a bright green body,False,,,Body is too broad and unsupported.
a black eye-stripe,False,,,"Eye-stripe is a facial pattern, not the eye part itself."
large feet,False,,,Feet are unsupported parts.
a gray crown,True,crown,crown,Directly describes the crown.
a forked tail,True,tail,tail,Directly describes the tail.
a pink bill,True,beak,beak,Bill maps cleanly to beak.
a white front,False,,,"Front is a vague region, not a supported part."
"a small, plump body",False,,,Body is too broad and unsupported.
A long tail,True,tail,tail,Directly describes the tail.
a black mask over the eyes,False,,,Mask is a facial pattern spanning multiple areas.
"a large, conical bill",True,beak,beak,Bill maps cleanly to beak.
a brownish back,True,back,back,Directly describes the back.
a black and white striped tail,True,tail,tail,Directly describes the tail.
a light-colored belly,True,belly,belly,Directly describes the belly.
a brown cap and white eyebrows,False,,,Refers to multiple parts and eyebrows are unsupported.
greenish-yellow legs,True,leg,left leg|right leg,Directly describes the legs.
a rusty-brown breast band,False,,,"Breast band is a subregion/pattern, not the whole breast annotation."
a white eyebrow,False,,,Eyebrow is unsupported.
a high dispersion,False,,,Abstract non-spatial trait.
all black feathers,False,,,"General plumage description, not one supported part."
yellow eyes,True,eye,left eye|right eye,Directly describes the eyes.
a glossy sheen to its feathers,False,,,"Describes overall feather quality, not one supported part."
a black tail with white sides,True,tail,tail,Primarily describes the tail.
a buffy breast,True,breast,breast,Directly describes the breast.
yellow bill,True,beak,beak,Bill maps cleanly to beak.
"a long, sharp bill",True,beak,beak,Bill maps cleanly to beak.
red legs,True,leg,left leg|right leg,Directly describes the legs.
bright golden-yellow plumage,False,,,"Overall plumage color, not one supported part."
a white eye-ring,True,eye,left eye|right eye,Eye-ring is localized around the eye.
a white bar on the wing,True,wing,left wing|right wing,Primarily localized on the wing.
grayish brown body,False,,,Body is too vague and unsupported.
a Mohs hardness of 10,False,,,Not a bird part trait.
"a large, sparrow-like bird",False,,,"Describes whole bird size/type, not a part."
spotted plumage,False,,,"Overall plumage pattern, not one supported part."
blue-gray wings,True,wing,left wing|right wing,Directly describes the wings.
a white or pale underside,False,,,Underside is a vague multi-part region.
"long, webbed feet",False,,,Feet are unsupported and not cleanly mappable to leg.
a brown or gray plumage,False,,,"Overall plumage color, not one supported part."
"small, slim body",False,,,Body is vague and describes overall shape.
a orange breast and belly,False,,,Refers to two supported parts at once.
a black streak on the head,False,,,Head is too vague; could span multiple supported parts.
a white chest,True,breast,breast,Chest aligns best with breast.
"a long, black and white tail",True,tail,tail,Directly describes the tail.
a tail with a distinct V-shape,True,tail,tail,Directly describes the tail.
a long tail,True,tail,tail,Directly describes the tail.
a black and white plumage,False,,,"Overall plumage pattern, not one supported part."
mottled grey and white plumage,False,,,"Overall plumage pattern, not one supported part."
gray or olive-gray upperparts,False,,,Upperparts is a vague multi-part region.
a white tail with a black tip,True,tail,tail,Primarily describes the tail.
brown and gray feathers,False,,,Feathers are not one supported localized part.
black feet,False,,,Feet are unsupported.
a crest on the head,False,,,Crest does not map cleanly to one supported head part.
wing bars,True,wing,left wing|right wing,Localized marking on the wing.
a black patch on the back,True,back,back,Directly describes the back.
white spots on the wings,True,wing,left wing|right wing,Directly describes the wings.
a small head,False,,,Head is too vague and unsupported as a coarse group.
a yellowish belly,True,belly,belly,Directly describes the belly.
black legs and feet,False,,,Mixes supported legs with unsupported feet.
"Long, hooked bill",True,beak,beak,Bill maps cleanly to beak.
pale gray or white color,False,,,Too generic; not tied to one supported part.
black and white plumage,False,,,"Overall plumage pattern, not one supported part."
three toes on each foot,False,,,Foot/toes are unsupported.
a rusty-brown cap,True,crown,crown,Cap aligns with the crown.
a Scarlet-red body,False,,,Body is too vague and unsupported.
a red body,False,,,Body is too vague and unsupported.
"a small, black head",False,,,Head is too vague and unsupported as a coarse group.
a reddish-brown color,False,,,Too generic; not tied to one supported part.
"long, thin antennae",False,,,Antennae are not bird parts in CUB.
pale pink legs and feet,False,,,Mixes supported legs with unsupported feet.
white and black coloration,False,,,"Global coloration, not one supported part."
"a small, conical bill",True,beak,beak,Bill maps cleanly to beak.
a streaked brown plumage,False,,,"Describes overall plumage, not one supported part."
a black cheek patch,False,,,Cheek is not a supported CUB part group.
pale brown upperparts,False,,,Upperparts is a vague multi-part region.
a black ring around the bill,False,,,Around the bill is not the beak itself and does not map cleanly to one part.
a brownish-gray upper body,False,,,Upper body is a vague multi-part region.
"a thin, pointed beak",True,beak,beak,Directly describes the beak.
a brown back with dark streaks,True,back,back,Directly describes the back.
"long, black legs",True,leg,left leg|right leg,Directly describes the legs.
a brown cap with a white cheek,False,,,Combines crown with unsupported cheek.
"a long, hooked beak",True,beak,beak,Directly describes the beak.
a streaked chest,True,breast,breast,Chest aligns to the breast region.
A blue sheen on the wings,True,wing,left wing|right wing,Directly describes the wings.
a black band on the wing,True,wing,left wing|right wing,Maps to the wing as the supported coarse part.
"a small, slim bird",False,,,Describes whole-bird size and build.
two white bars on wings,True,wing,left wing|right wing,Directly describes the wings.
greenish-yellow upperparts,False,,,Upperparts is a vague multi-part region.
dark blue-gray upperparts,False,,,Upperparts is a vague multi-part region.
a yellow breast,True,breast,breast,Directly describes the breast.
a dark blue-black upper body,False,,,Upper body is a vague multi-part region.
a black cap,True,crown,crown,Cap aligns to the crown.
a black head and back,False,,,Head and back spans multiple parts.
"a long, thick bill",True,beak,beak,Bill maps to beak.
long black tail,True,tail,tail,Directly describes the tail.
"a long, slender beak",True,beak,beak,Directly describes the beak.
a yellow body,False,,,Body is too broad and unsupported.
a black cap and back,False,,,"Combines crown and back, so not one part."
white coloration on the body,False,,,Body is too broad and unsupported.
two white bars on the wings,True,wing,left wing|right wing,Directly describes the wings.
"a long, yellow bill",True,beak,beak,Bill maps to beak.
a large head,False,,,Head is not a supported coarse part.
a black and white striped head,False,,,Head spans multiple unsupported/supported subparts.
"long, brown legs",True,leg,left leg|right leg,Directly describes the legs.
long wings,True,wing,left wing|right wing,Directly describes the wings.
